time,open,high,low,close,MA,MA,Histogram,MACD,Signal
1360454400,23.82539407,24.03966361,22.73349163,23.80425123,NaN,NaN,0.28458540619469064,1.9822916295424093,1.6977062233477187
1360540800,23.93998541,24.65256769,23.311,24.65256769,NaN,NaN,0.31881169292053957,2.096220839498393,1.7774091465778536
1360627200,24.4863742,25.80148194,24.05951655,25.16070346,NaN,NaN,0.339775168444469,2.20212810713344,1.862352938688971
1360713600,24.94438481,26.146038,24.49716088,24.49716088,NaN,NaN,0.27577863944185355,2.207076237991288,1.9312975985494343
1360800000,24.43740017,27.37388398,22.15312764,27.25768217,NaN,NaN,0.37977283099267023,2.406013637290272,2.0262408062976016
1360886400,27.28163353,27.49332833,25.784,27.2254414,NaN,NaN,0.40451567493216434,2.531885399962807,2.1273697250306425
1360972800,27.19928343,27.75630255,26.27154301,27.35643152,NaN,NaN,0.38778328979210297,2.6120988372707714,2.2243155474786684
1361059200,27.389668,27.4,25.45336762,26.86810456,NaN,NaN,0.3055249680857792,2.6062217575858924,2.300696789500113
1361145600,26.74499074,27,26.14911564,26.95,NaN,NaN,0.2222022841582305,2.5784496446979013,2.3562473605396708
1361232000,26.92,29.48653197,26.80614623,29.33459714,NaN,NaN,0.2890269903966938,2.717531098535538,2.4285041081388443
1361318400,29.32962042,30.04,28.65,29.92166151,NaN,NaN,0.33108501743691754,2.8423603799349912,2.5112753624980737
1361404800,29.68621491,30.46507237,29.166,29.74862437,NaN,NaN,0.30615250613212064,2.8939659951632244,2.5878134890311038
1361491200,29.86548112,31.66348815,29.603,30.30761799,NaN,NaN,0.2865573361127889,2.94601015917209,2.659452823059301
1361577600,30.00260337,30.87134405,27.67092673,29.76781698,NaN,NaN,0.20055909096600955,2.910151686766813,2.7095925958008036
1361664000,29.79990073,31.46089361,28.3429643,29.88999561,NaN,NaN,0.11923773426906292,2.8586397636371323,2.7394020293680694
1361750400,29.89001072,30.98012807,28.362,30.39998985,NaN,NaN,0.06958847984782013,2.8263876291778445,2.7567991493300243
1361836800,30.40903781,31.60322383,29.5,31.23686216,NaN,NaN,0.06309537005941523,2.8356683619042933,2.772572991844878
1361923200,31.29461438,31.64181421,30.29155579,31.15566963,NaN,NaN,0.02525951476469901,2.8041473853007517,2.7788878705360527
1362009600,31.27585785,34.19195858,30.80041653,33.42179008,NaN,NaN,0.11950451094070091,2.9282685092119287,2.808763998271228
1362096000,33.38994312,34.90037694,32.514,34.5864035,NaN,NaN,0.22102676726817716,3.085047457356449,2.864020690088272
1362182400,34.59807701,35.6043053,32.692,34.25,NaN,NaN,0.22549314694346867,3.145887123767608,2.920393976824139
1362268800,34.04489164,35.76724627,32.229,33.99760403,NaN,NaN,0.17373986822827714,3.1375688121094853,2.963828943881208
1362355200,34.72258145,36.65613333,32.133,35.99523846,NaN,NaN,0.23265788452126168,3.254651299532785,3.0219934150115235
1362441600,35.62766228,41.46543319,35.62766228,40.67675451,NaN,NaN,0.5286027252654995,3.6827468215933976,3.154144096327898
1362528000,40.46810207,49.37172906,40.39925278,41.9096905,NaN,NaN,0.7363123545720489,4.0745345395429595,3.3382221849709106
1362614400,41.24126899,46.18527286,34.59594403,41.71280161,NaN,NaN,0.7849030924507012,4.319351050534287,3.534447958083586
1362700800,41.73508315,44.43770274,41.16820039,44.33233432,NaN,NaN,0.9091624789758983,4.670901056803459,3.7617385778275603
1362787200,44.18567593,47.17320119,43.15839406,46.54277544,NaN,NaN,1.046156191401364,5.069433817079265,4.023277625677901
1362873600,46.74117817,48.16797162,45.31268043,46.64912277,NaN,NaN,1.0472873441126112,5.332386805818665,4.285099461706054
1362960000,46.48668124,49.88549599,45.07719264,47.66746644,NaN,NaN,1.019017675723279,5.5588715563601525,4.539853880636874
1363046400,47.71859119,48.85034778,37.41179961,43.91924496,NaN,NaN,0.6672884852702872,5.3739644872247325,4.706676001954445
1363132800,44.23208258,47.31109811,43.74037177,46.52155093,NaN,NaN,0.5350142986409789,5.3754438752556695,4.8404295766146905
1363219200,46.44464845,49.58784318,43.89125344,47.02801142,NaN,NaN,0.4122529202289895,5.355745726900928,4.943492806671938
1363305600,46.17941442,47.87718757,43.30261223,46.18313503,NaN,NaN,0.21471056951616774,5.211881018567148,4.99717044905098
1363392000,46.26186085,48.58590874,43.8,47.59083751,NaN,NaN,0.1239174027900134,5.152067202538497,5.028149799748483
1363478400,47.0282685,48.43089557,43.73298773,46.07388137,NaN,NaN,-0.0821352290797508,4.925480763398795,5.007615992478546
1363564800,47.39439628,51.0083874,44.0948819,50.50715063,NaN,NaN,0.030288045711673206,5.045476049618138,5.015188003906465
1363651200,50.37932297,59.17148185,49.39526954,58.48776984,NaN,NaN,0.5627469890293879,5.7186217401932,5.155874751163812
1363737600,57.84649804,66.0505552,57.29416902,64.09249097,NaN,NaN,1.1776568951263435,6.627945870071741,5.450288974945398
1363824000,64.46642238,74.09184754,63.44878453,69.68144167,NaN,NaN,1.808320323705206,7.710689379576905,5.9023690558716995
1363910400,70.32364076,74.13045024,65.95482277,68.93125323,NaN,NaN,2.007126757598038,8.411277502869247,6.404150745271209
1363996800,69.84328435,70.8954063,52.76977447,65.22667403,NaN,NaN,1.7317148677169891,8.568794329917445,6.837079462200456
1364083200,64.84927401,72.22380315,62.79788242,71.44833866,NaN,NaN,1.8030324292358966,9.090869998745326,7.2878375695094295
1364169600,71.99667829,76.97934678,69.66055026,74.02407078,NaN,NaN,1.8511503383578019,9.601775492456682,7.75062515409888
